2018-02-17 00:14:13 status unpacked xz-utils:amd64 5.1.1alpha+20120614-2+b3
2018-02-17 00:14:13 install autoconf:all <none> 2.69-8
2018-02-17 00:14:13 status half-installed autoconf:all 2.69-8
2018-02-17 00:14:13 status unpacked autoconf:all 2.69-8
2018-02-17 00:14:13 status unpacked autoconf:all 2.69-8
2018-02-17 00:14:13 install binutils:amd64 <none> 2.25-5+deb8u1
2018-02-17 00:14:13 status half-installed binutils:amd64 2.25-5+deb8u1
2018-02-17 00:14:13 status unpacked binutils:amd64 2.25-5+deb8u1
2018-02-17 00:14:13 status unpacked binutils:amd64 2.25-5+deb8u1
2018-02-17 00:14:13 install openssl:amd64 <none> 1.0.1t-1+deb8u7
2018-02-17 00:14:13 status half-installed openssl:amd64 1.0.1t-1+deb8u7
2018-02-17 00:14:13 status unpacked openssl:amd64 1.0.1t-1+deb8u7
2018-02-17 00:14:13 status unpacked openssl:amd64 1.0.1t-1+deb8u7
2018-02-17 00:14:13 install ca-certificates:all <none> 20141019+deb8u3
2018-02-17 00:14:13 status half-installed ca-certificates:all 20141019+deb8u3
2018-02-17 00:14:13 status unpacked ca-certificates:all 20141019+deb8u3
2018-02-17 00:14:13 status unpacked ca-certificates:all 20141019+deb8u3
2018-02-17 00:14:13 install cpp-4.9:amd64 <none> 4.9.2-10
2018-02-17 00:14:13 status half-installed cpp-4.9:amd64 4.9.2-10
2018-02-17 00:14:14 status unpacked cpp-4.9:amd64 4.9.2-10
2018-02-17 00:14:14 status unpacked cpp-4.9:amd64 4.9.2-10
2018-02-17 00:14:14 install cpp:amd64 <none> 4:4.9.2-2
2018-02-17 00:14:14 status half-installed cpp:amd64 4:4.9.2-2
2018-02-17 00:14:14 status unpacked cpp:amd64 4:4.9.2-2
2018-02-17 00:14:14 status unpacked cpp:amd64 4:4.9.2-2
2018-02-17 00:14:14 install curl:amd64 <none> 7.38.0-4+deb8u9
2018-02-17 00:14:14 status half-installed curl:amd64 7.38.0-4+deb8u9
2018-02-17 00:14:14 status unpacked curl:amd64 7.38.0-4+deb8u9
2018-02-17 00:14:14 status unpacked curl:amd64 7.38.0-4+deb8u9
2018-02-17 00:14:14 install libtimedate-perl:all <none> 2.3000-2
2018-02-17 00:14:14 status half-installed libtimedate-perl:all 2.3000-2
2018-02-17 00:14:14 status unpacked libtimedate-perl:all 2.3000-2
2018-02-17 00:14:14 status unpacked libtimedate-perl:all 2.3000-2
2018-02-17 00:14:14 install libdpkg-perl:all <none> 1.17.27
2018-02-17 00:14:14 status half-installed libdpkg-perl:all 1.17.27
2018-02-17 00:14:14 status unpacked libdpkg-perl:all 1.17.27
2018-02-17 00:14:14 status unpacked libdpkg-perl:all 1.17.27
2018-02-17 00:14:14 install make:amd64 <none> 4.0-8.1
2018-02-17 00:14:14 status half-installed make:amd64 4.0-8.1
2018-02-17 00:14:14 status unpacked make:amd64 4.0-8.1
2018-02-17 00:14:14 status unpacked make:amd64 4.0-8.1
2018-02-17 00:14:14 install dpkg-dev:all <none> 1.17.27
2018-02-17 00:14:14 status half-installed dpkg-dev:all 1.17.27
2018-02-17 00:14:14 status unpacked dpkg-dev:all 1.17.27
2018-02-17 00:14:14 status unpacked dpkg-dev:all 1.17.27
2018-02-17 00:14:14 install libgcc-4.9-dev:amd64 <none> 4.9.2-10
2018-02-17 00:14:14 status half-installed libgcc-4.9-dev:amd64 4.9.2-10
2018-02-17 00:14:15 status unpacked libgcc-4.9-dev:amd64 4.9.2-10
2018-02-17 00:14:15 status unpacked libgcc-4.9-dev:amd64 4.9.2-10
2018-02-17 00:14:15 install gcc-4.9:amd64 <none> 4.9.2-10
2018-02-17 00:14:15 status half-installed gcc-4.9:amd64 4.9.2-10
2018-02-17 00:14:15 status unpacked gcc-4.9:amd64 4.9.2-10
2018-02-17 00:14:15 status unpacked gcc-4.9:amd64 4.9.2-10
2018-02-17 00:14:15 install gcc:amd64 <none> 4:4.9.2-2
2018-02-17 00:14:15 status half-installed gcc:amd64 4:4.9.2-2
2018-02-17 00:14:15 status unpacked gcc:amd64 4:4.9.2-2
2018-02-17 00:14:15 status unpacked gcc:amd64 4:4.9.2-2
2018-02-17 00:14:15 install libc-dev-bin:amd64 <none> 2.19-18+deb8u10
2018-02-17 00:14:15 status half-installed libc-dev-bin:amd64 2.19-18+deb8u10
2018-02-17 00:14:15 status unpacked libc-dev-bin:amd64 2.19-18+deb8u10
2018-02-17 00:14:15 status unpacked libc-dev-bin:amd64 2.19-18+deb8u10
2018-02-17 00:14:15 install linux-libc-dev:amd64 <none> 3.16.51-3+deb8u1
2018-02-17 00:14:15 status half-installed linux-libc-dev:amd64 3.16.51-3+deb8u1
2018-02-17 00:14:15 status unpacked linux-libc-dev:amd64 3.16.51-3+deb8u1
2018-02-17 00:14:15 status unpacked linux-libc-dev:amd64 3.16.51-3+deb8u1
2018-02-17 00:14:15 install libc6-dev:amd64 <none> 2.19-18+deb8u10
2018-02-17 00:14:15 status half-installed libc6-dev:amd64 2.19-18+deb8u10
2018-02-17 00:14:16 status unpacked libc6-dev:amd64 2.19-18+deb8u10
2018-02-17 00:14:16 status unpacked libc6-dev:amd64 2.19-18+deb8u10
2018-02-17 00:14:16 install libstdc++-4.9-dev:amd64 <none> 4.9.2-10
2018-02-17 00:14:16 status half-installed libstdc++-4.9-dev:amd64 4.9.2-10
2018-02-17 00:14:16 status unpacked libstdc++-4.9-dev:amd64 4.9.2-10
2018-02-17 00:14:16 status unpacked libstdc++-4.9-dev:amd64 4.9.2-10
2018-02-17 00:14:16 install g++-4.9:amd64 <none> 4.9.2-10
2018-02-17 00:14:16 status half-installed g++-4.9:amd64 4.9.2-10
2018-02-17 00:14:16 status unpacked g++-4.9:amd64 4.9.2-10
2018-02-17 00:14:16 status unpacked g++-4.9:amd64 4.9.2-10
